id,subSite,siteCode,siteName,typeSite,numberOfPeople,penaltyRate,workDate,workingPeople,,
1,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/1/2025,0,,
2,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/2/2025,10,,
3,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/3/2025,10,,
4,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/4/2025,0,,
5,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/5/2025,10,,
6,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/6/2025,10,,
7,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/7/2025,10,,
8,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/8/2025,10,,
9,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/9/2025,10,,
10,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/10/2025,10,,
11,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/11/2025,0,,
12,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,1/12/2025,10,,
13,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,13/1/2025,10,,
14,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,14/1/2025,10,,
15,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,15/1/2025,10,,
16,68LML0003,68LML0003,บุญรอดบริวฯ - งานกวาด,ชดแรงภายในวัน,10,800,16/1/2025,10,,
